id,cycle,form_type,date_filed,date_coverage_to,date_coverage_from,report_title,report_period,fec_uri,paper,amended,amended_uri,is_amendment,original_filing,original_uri,committee_type,contributions_total,cash_on_hand,disbursements_total,receipts_total
1024052,2016,F3,2015-09-03,2015-06-30,2015-04-01,JUL QUARTERLY,Q2,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1024052/,False,False,,True,1015585.0,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1015585/,P,47549799.64,28850135.62,18699814.02,47549949.64
1081046,2016,F3,2016-07-05,2015-09-30,2015-07-01,OCT QUARTERLY,Q3,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1081046/,False,False,,True,1029510.0,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1029510/,P,29449433.6,32995172.39,25780713.14,29925749.91
1081052,2016,F3,2016-07-05,2015-12-31,2015-10-01,YEAR-END,YE,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1081052/,False,False,,True,1047281.0,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1047281/,P,33194425.57,37977647.61,33110965.04,38093440.26
1081057,2016,F3,2016-07-05,2016-01-31,2016-01-01,FEB MONTHLY,M2,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1081057/,False,False,,True,1051543.0,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1051543/,P,13320466.0,32938563.75,19919631.55,14880547.69
1093618,2016,F3,2016-08-11,2016-02-29,2016-02-01,MAR MONTHLY,,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1093618/,False,False,,True,1056807.0,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1056807/,P,23493861.43,30832968.5,31564540.66,29458945.41
1081062,2016,F3,2016-07-05,2016-03-31,2016-03-01,APR MONTHLY,M4,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1081062/,False,False,,True,1066337.0,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1066337/,P,22552548.17,28972522.1,28694882.43,26834436.03
1091718,2016,F3,2016-07-30,2016-04-30,2016-04-01,MAY MONTHLY,M5,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1091718/,False,False,,True,1073673.0,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1073673/,P,20403773.28,30160782.21,23859389.18,25047649.29
1091720,2016,F3,2016-07-30,2016-05-31,2016-05-01,JUN MONTHLY,M6,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1091720/,False,False,,True,1079219.0,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1079219/,P,19700522.17,42465635.99,14085977.14,26390830.92
1099613,2016,F3,2016-09-18,2016-06-30,2016-06-01,JUL MONTHLY,M7,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1099613/,False,False,,True,1089684.0,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1089684/,P,23832606.9,44361029.7,34466401.87,36361795.58
1109498,2016,F3,2016-10-17,2016-07-31,2016-07-01,AUG MONTHLY,M8,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1109498/,False,False,,True,1096298.0,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1096298/,P,31494799.68,58471932.1,38178136.81,52289039.21
1100718,2016,F3,2016-09-20,2016-08-31,2016-08-01,SEP MONTHLY,M9,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1100718/,False,False,,,,,P,27056974.42,68429276.78,49554327.58,59511672.26
1112134,2016,F3,2016-10-20,2016-09-30,2016-09-01,OCT MONTHLY,M10,http://docquery.fec.gov/cgi-bin/dcdev/forms/C00575795/1112134/,False,False,,,,,P,41156267.69,59664302.08,82589319.97,73824345.27
