meta_employer,committee,itemized_contributions,sum_max_agg
Adobe,Donald J. Trump For President,1082.4,1082.4
Adobe,Hillary For America,68245.01,73860.48
Airbnb,Hillary For America,42723.21,43987.37
Amazon,Donald J. Trump For President,2401.6,2912.97
Amazon,Hillary For America,255615.94,278727.53
Apple,Donald J. Trump For President,3646.05,4819.02
Apple,Hillary For America,501574.97,536470.97
Box,Hillary For America,13635.0,14030.0
Cisco,Donald J. Trump For President,21386.84,23421.36
Cisco,Hillary For America,135871.38,153297.16
Dell,Donald J. Trump For President,11402.47,13397.85
Dell,Hillary For America,55987.41,66572.09
Ebay,Hillary For America,93539.09,96029.64
Facebook,Donald J. Trump For President,3719.04,3641.03
Facebook,Hillary For America,351010.38,362837.11
Google/Alphabet,Donald J. Trump For President,20024.0,21202.37
Google/Alphabet,Hillary For America,1121061.48,1167017.56
Hewlett-Packard,Donald J. Trump For President,10131.55,11433.0
Hewlett-Packard,Hillary For America,152803.5,170437.36
IBM,Donald J. Trump For President,24732.96,28114.52
IBM,Hillary For America,276366.49,327167.48
Intel,Donald J. Trump For President,4408.41,5553.68
Intel,Hillary For America,124969.46,139094.71
Microsoft,Donald J. Trump For President,25610.78,27635.61
Microsoft,Hillary For America,552250.33,585157.1
Netflix,Donald J. Trump For President,250.0,250.0
Netflix,Hillary For America,67898.27,75868.71
Oracle,Donald J. Trump For President,11292.54,12798.87
Oracle,Hillary For America,161048.43,187520.87
Salesforce,Donald J. Trump For President,780.4,1155.4
Salesforce,Hillary For America,318729.93,331047.44
Square,Hillary For America,23314.4,24398.45
Twitter,Donald J. Trump For President,3800.0,3950.0
Twitter,Hillary For America,86338.81,92371.4
Uber,Donald J. Trump For President,1259.6,1400.6
Uber,Hillary For America,36986.3,42670.84
