employer_norm,amount,spellings
,71763838.33999056, • - • -- • --- • ----- • ------------------------- • .
self_employed,48686372.55999541,SELF  EMPLOYED • SELF EMPLOYED • SELF- EMPLOYED • SELF--EMPLOYED • SELF-EMPLOYED
retired,13971228.140000934,RETIRED • RETIRED ` • RETIRED.
information_requested,13712874.950000027,INFORMATION REQUESTED
not_employed,2991814.1799999946,NOT  EMPLOYED • NOT EMPLOYED • NOT-EMPLOYED
google,1088767.9200000006,"GOOGLE • GOOGLE INC • GOOGLE INC. • GOOGLE, INC • GOOGLE, INC."
none,784280.9000000022,--NONE-- • NONE • NONE.
morgan_morgan,574091.25,MORGAN & MORGAN
microsoft,550750.3300000003,MICROSOFT • MICROSOFT CORP. • MICROSOFT CORPORATION
stanford_university,513289.5699999998,STANFORD UNIVERSITY
apple,502624.97,"APPLE • APPLE INC • APPLE INC. • APPLE, INC • APPLE, INC. • APPLE. INC."
u_s_government,488365.22999999905,U. S. GOVERNMENT • U.S GOVERNMENT • U.S. GOVERNMENT • U.S.GOVERNMENT
harvard_university,432143.7199999999,HARVARD UNIVERSITY
morgan_stanley,395147.13,MORGAN STANLEY • MORGAN STANLEY & CO • MORGAN STANLEY & CO. • MORGAN STANLEY INC.
u_s_department_of_state,391759.78999999916,U. S. DEPARTMENT OF STATE • U.S DEPARTMENT OF STATE • U.S. DEPARTMENT  OF STATE • U.S. DEPARTMENT OF STATE • U.S.. DEPARTMENT OF STATE
dla_piper,357266.7499999999,"DLA PIPER • DLA PIPER LLP • DLA PIPER, LLP"
columbia_university,354627.4999999998,COLUMBIA UNIVERSITY
facebook,351010.37999999995,"FACEBOOK • FACEBOOK, INC."
jpmorgan_chase,321762.7199999997,JPMORGAN  CHASE • JPMORGAN CHASE • JPMORGAN CHASE & CO • JPMORGAN CHASE & CO.
paul_weiss_rifkind_wharton_garrison,318533.30999999994,"PAUL WEISS RIFKIND WHARTON & GARRISON • PAUL WEISS RIFKIND WHARTON & GARRISON,"
skadden_arps_slate_meagher_flom,317298.4999999998,"SKADDEN ARPS SLATE MEAGHER & FLOM • SKADDEN ARPS SLATE MEAGHER & FLOM LLP • SKADDEN ARPS SLATE MEAGHER & FLOM, LLP • SKADDEN, ARPS, SLATE, MEAGHER & FLOM"
latham_watkins,312769.9499999999,"LATHAM & WATKINS • LATHAM & WATKINS LLP • LATHAM & WATKINS, LLC • LATHAM WATKINS  LLP • LATHAM WATKINS LLP"
new_york_university,310674.7599999996,NEW YORK UNIVERSITY
kirkland_ellis,308882.12999999983,"KIRKLAND & ELLIS • KIRKLAND & ELLIS LLP • KIRKLAND & ELLIS, LLP • KIRKLAND &ELLIS • KIRKLAND& ELLIS LLP"
akin_gump_strauss_hauer_feld,308486.38999999996,"AKIN GUMP STRAUSS HAUER & FELD • AKIN GUMP STRAUSS HAUER & FELD LLP • AKIN GUMP STRAUSS HAUER & FELD, LLP • AKIN, GUMP, STRAUSS, HAUER & FELD LLP"
sidley_austin,299642.91,"SIDLEY & AUSTIN • SIDLEY AUSTIN • SIDLEY AUSTIN LLP • SIDLEY AUSTIN, LLP"
kaiser_permanente,288764.3499999998,KAISER  PERMANENTE • KAISER PERMANENTE • KAISER-PERMANENTE
covington_burling,288125.73,"COVINGTON & BURLING • COVINGTON & BURLING LLP • COVINGTON & BURLING, LLC • COVINGTON & BURLING, LLP • COVINGTON BURLING"
sullivan_cromwell,274902.82,"SULLIVAN &  CROMWELL LLP • SULLIVAN &  CROMWELL, LLP • SULLIVAN & CROMWELL LLP • SULLIVAN & CROMWELL, LLP"
yale_university,274155.0399999999,YALE  UNIVERSITY • YALE UNIVERSITY
ibm,273018.2099999998,IBM • IBM CORP • IBM CORP. • IBM CORPORATION
university_of_california,271360.5899999999,UNIVERSITY OF  CALIFORNIA • UNIVERSITY OF CALIFORNIA
salesforce_com,266323.04999999993,"SALESFORCE.COM • SALESFORCE.COM, INC."
u_s_department_of_justice,266059.36,"U. S. DEPARTMENT OF JUSTICE • U.S DEPARTMENT OF JUSTICE • U.S, DEPARTMENT OF JUSTICE • U.S. DEPARTMENT OF JUSTICE"
hogan_lovells,263515.12,"HOGAN LOVELLS • HOGAN LOVELLS LLC • HOGAN LOVELLS LLP • HOGAN LOVELLS, LLP"
wells_fargo,262740.8199999999,"WELLS FARGO • WELLS FARGO, INC."
at_t,248732.8899999998,"AT & T • AT &T • AT& T • AT&T • AT&T CORP • AT&T INC • AT&T, INC."
state_of_california,248567.8599999998,STATE OF CALIFORNIA
arnold_porter,246577.17,"ARNOLD & PORTER • ARNOLD & PORTER LLP • ARNOLD & PORTER, LLP"
goldman_sachs,246567.16,"GOLDMAN SACHS • GOLDMAN SACHS & CO • GOLDMAN SACHS & CO. • GOLDMAN SACHS, INC • GOLDMAN, SACHS & CO • GOLDMAN, SACHS & CO."
wilmerhale,240375.18000000002,"WILMERHALE • WILMERHALE LLP • WILMERHALE, LLP"
creative_artists_agency,239910.3,CREATIVE ARTISTS AGENCY
bank_of_america,234484.70999999993,BANK OF AMERICA
greenberg_traurig,230488.65999999995,"GREENBERG TRAURIG • GREENBERG TRAURIG LLP • GREENBERG TRAURIG, LLP"
simpson_thacher_bartlett,229250.08,"SIMPSON THACHER & BARTLETT LLP • SIMPSON THACHER & BARTLETT, LLP • SIMPSON THACHER &BARTLETT LLC • SIMPSON, THACHER & BARTLETT LLP • SIMPSON, THACHER & BARTLETT, LLP"
amazon_com,223234.63999999996,"AMAZON.COM • AMAZON.COM INC • AMAZON.COM, INC • AMAZON.COM, INC. • AMAZON.COM, LLC"
dish_network,215235.43,DISH NETWORK • DISH NETWORK LLC
corning,210881.29,"CORNING • CORNING INC. • CORNING INCORPORATED • CORNING, INC."
georgetown_university,203958.0100000001,GEORGETOWN UNIVERSITY
ucla,203388.71,UCLA • UCLA`
