employer_norm,amount,spellings
retired,23378013.69000018,RETIRED • RETIRED.
self_employed,10175872.460000249,SELF  -  EMPLOYED • SELF - EMPLOYED • SELF -EMPLOYED • SELF EMPLOYED • SELF EMPLOYED. • SELF- EMPLOYED • SELF-EMPLOYED
information_requested,9007485.819999946,INFORMATION REQUESTED
homemaker,1304884.2000000007,HOMEMAKER
self,175356.09999999998,SELF • SELF LLC
boch_automotive_group,86936.8,BOCH AUTOMOTIVE GROUP
not_employed,84234.93000000007,NOT EMPLOYED
owner,61314.79000000001,OWNER
alliance_coal,46080.0,"ALLIANCE COAL • ALLIANCE COAL LLC • ALLIANCE COAL, LLC"
murray_energy,43384.85,MURRAY ENERGY • MURRAY ENERGY CORP • MURRAY ENERGY CORP. • MURRAY ENERGY CORPORATION • MURRAY ENERGY INC.
,40041.840000000004,
american_airlines,37824.780000000006,AMERICAN AIRLINES
jennmar,34080.0,JENNMAR • JENNMAR CORPORATION
merrill_lynch,32611.81,"MERRILL - LYNCH • MERRILL LYNCH • MERRILL LYNCH, INC."
student,32450.85,STUDENT
entrepreneur,31299.300000000003,ENTREPRENEUR
not_specified,28922.200000000004,NOT SPECIFIED
colony_capital,26600.0,"COLONY CAPITAL • COLONY CAPITAL, INC"
microsoft,25610.78,MICROSOFT • MICROSOFT CORP • MICROSOFT CORPORATION
northrop_grumman,25515.74,NORTHROP GRUMMAN • NORTHROP GRUMMAN CORP • NORTHROP GRUMMAN CORP. • NORTHROP GRUMMAN CORPORATION • NORTHROP-GRUMMAN • NORTHROP/GRUMMAN
ibm,24210.56000000001,"IBM • IBM CORP • IBM CORPORATION • IBM CORPRATION • IBM, CORPORATION • IBM, INC"
xpo_logistics,24000.010000000002,"XPO  LOGISTICS • XPO LOGISTICS • XPO LOGISTICS, INC."
us_army,23611.28000000001,US ARMY
lockheed_martin,23377.820000000003,LOCKHEED MARTIN • LOCKHEED MARTIN CORP • LOCKHEED MARTIN CORP. • LOCKHEED MARTIN CORPORATION • LOCKHEED-MARTIN
southwest_airlines,22066.440000000006,SOUTHWEST AIRLINES • SOUTHWEST AIRLINES CO.
wells_fargo_advisors,22023.16,"WELLS FARGO ADVISORS • WELLS FARGO ADVISORS LLC • WELLS FARGO ADVISORS, LLC"
none,21566.6,NONE
nucor,20940.0,NUCOR • NUCOR CORPORATION
wells_fargo,20510.489999999998,WELLS FARGO
me,20378.200000000004,ME • ME!
united_airlines,20303.600000000006,"UNITED  AIRLINES • UNITED AIRLINES • UNITED AIRLINES INC. • UNITED AIRLINES, INC."
at_t,20195.399999999994,AT&T • AT@T
donald_j_trump_for_president,20085.86,"DONALD J TRUMP FOR PRESIDENT • DONALD J TRUMP FOR PRESIDENT, INC. • DONALD J. TRUMP FOR PRESIDENT, INC."
american_energy,20056.6,AMERICAN ENERGY • AMERICAN ENERGY CORP • AMERICAN ENERGY CORP. • AMERICAN ENERGY CORPORATION • AMERICAN ENERGY INC.
google,19497.0,"GOOGLE • GOOGLE INC • GOOGLE INC. • GOOGLE, INC • GOOGLE, INC."
business_owner,18995.17,BUSINESS OWNER
morgan_stanley,18985.24,MORGAN STANLEY • MORGAN STANLEY INC
america_s_catch,18900.0,AMERICA'S CATCH
twenty_one_twelve,18255.9,TWENTY ONE TWELVE
coldwell_banker,18181.43,COLDWELL  BANKER • COLDWELL BANKER
cisco_systems,17756.45,"CISCO SYSTEMS • CISCO SYSTEMS INC. • CISCO SYSTEMS, INC • CISCO SYSTEMS, INC."
us_navy,17756.240000000005,US NAVY
walmart,17507.649999999998,WALMART • WALMART CORPORATION
bank_of_america,17027.39,BANK OF AMERICA
usaf,16775.839999999997,USAF
centaur_gaming,16411.5,CENTAUR GAMING
boeing,16365.009999999998,BOEING • BOEING CO • BOEING CO. • BOEING CORPORATION
usps,16284.509999999997,USPS • USPS.
veg_fresh_farms,16200.0,VEG FRESH FARMS • VEG FRESH FARMS LLC
dod,15395.13,DOD
